Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MOUNTAIN,2019,43,430,,901,,32757,,32197,,3,,21,,423,,341,,,-,1,,1,,4,,,MOUNTAIN,20194348
ARIZONA,2019,43,72,,350,,11320,,10627,,,-,9,,153,,109,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20194349
COLORADO,2019,43,191,,250,,7839,,7373,,2,,8,,105,,76,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20194350
IDAHO,2019,43,31,,52,,1192,,892,,,-,3,,26,,16,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194351
MONTANA,2019,43,28,,56,,1257,,950,,,-,4,,21,,15,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20194352
NEVADA,2019,43,65,,146,,4765,,5327,,,-,5,,28,,28,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194353
NEW MEXICO,2019,43,5,,132,,3839,,4358,,,-,3,,42,,45,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20194354
UTAH,2019,43,38,,75,,2316,,2416,,1,,5,,48,,46,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20194355
WYOMING,2019,43,,-,16,,229,,254,,,-,1,,,-,6,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194356
PACIFIC,2019,43,557,,2214,,77442,,82771,,1,,16,,180,,165,,,-,1,,1,,,-,,PACIFIC,20194357
ALASKA,2019,43,,-,60,,1445,,1847,,,-,3,,26,,31,,,-,1,,1,,,-,"ALASKA
(63.631126, -151.631889)",,20194358
CALIFORNIA,2019,43,242,,1775,,64500,,65527,,,-,5,,42,,25,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194359
HAWAII,2019,43,,-,41,,,-,1201,,,-,3,,31,,32,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194360
OREGON,2019,43,148,,158,,5052,,4776,,1,,6,,71,,77,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194361
WASHINGTON,2019,43,167,,244,,6445,,9420,,,-,13,,10,,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194362
US TERRITORIES,2019,43,,-,17,,297,,479,,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20194363
AMERICAN SAMOA,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194364
NORTHERN MARIANA ISLANDS,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194365
GUAM,2019,43,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194366
PUERTO RICO,2019,43,,-,17,,297,,461,,,-,0,,,-,2,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194367
U.S. VIRGIN ISLANDS,2019,43,,-,0,,,-,18,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194368
NON-US RESIDENTS,2019,43,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194369
TOTAL,2019,43,4027,,12529,,426181,,479388,,42,,233,,4503,,4483,,,-,3,,11,,32,,,TOTAL,20194370
US RESIDENTS,2019,44,3467,,12515,,436461,,490523,,44,,233,,4630,,4573,,,-,3,,11,,32,,,US RESIDENTS,20194401
NEW ENGLAND,2019,44,139,,365,,8173,,12240,,1,,11,,212,,242,,,-,0,,,-,3,,,NEW ENGLAND,20194402
CONNECTICUT,2019,44,,-,124,,,-,3031,,,-,4,,39,,56,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194403
MAINE,2019,44,,-,21,,373,,609,,,-,4,,29,,20,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194404
MASSACHUSETTS,2019,44,116,,191,,6248,,6855,,,-,7,,81,,109,,,-,0,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194405
NEW HAMPSHIRE,2019,44,3,,20,,340,,507,,,-,3,,27,,20,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194406
RHODE ISLAND,2019,44,20,,139,,1142,,1012,,,-,4,,21,,20,,,-,0,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20194407
VERMONT,2019,44,,-,14,,70,,226,,1,,4,,15,,17,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194408
MIDDLE ATLANTIC,2019,44,1014,,1542,,55124,,52666,,10,,31,,681,,709,,,-,1,,1,,9,,,MIDDLE ATLANTIC,20194409
NEW JERSEY,2019,44,95,,238,,8359,,7634,,,-,9,,119,,157,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194410
NEW YORK,2019,44,328,,312,,9665,,9548,,2,,18,,195,,195,,,-,1,,1,,2,,"NEW YORK
(42.921241, -75.59655)",,20194411
NEW YORK CITY,2019,44,387,,712,,24105,,21987,,2,,8,,125,,141,,,-,0,,,-,2,,,NEW YORK CITY,20194412
PENNSYLVANIA,2019,44,204,,387,,12995,,13497,,6,,12,,242,,216,,,-,1,,,-,5,,"PENNSYLVANIA
(40.896694, -77.838886)",,20194413
EAST NORTH CENTRAL,2019,44,597,,2006,,69827,,73530,,9,,37,,799,,804,,,-,2,,4,,11,,,EAST NORTH CENTRAL,20194414
ILLINOIS,2019,44,28,,549,,17615,,21343,,,-,11,,199,,206,,,-,0,,,-,2,,"ILLINOIS
(40.124144, -89.148632)",,20194415
INDIANA,2019,44,95,,326,,9328,,10251,,,-,8,,129,,134,,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20194416
MICHIGAN,2019,44,31,,452,,14079,,14108,,,-,8,,149,,147,,,-,0,,,-,2,,"MICHIGAN
(44.874798, -85.730977)",,20194417
OHIO,2019,44,318,,594,,21556,,21155,,9,,16,,296,,224,,,-,1,,3,,3,,"OHIO
(40.415534, -82.70936)",,20194418
WISCONSIN,2019,44,125,,240,,7249,,6673,,,-,6,,26,,93,,,-,1,,1,,1,,"WISCONSIN
(44.639954, -89.732969)",,20194419
WEST NORTH CENTRAL,2019,44,45,,859,,29466,,32568,,2,,14,,240,,341,,,-,0,,,-,1,,,WEST NORTH CENTRAL,20194420
IOWA,2019,44,15,,126,,4314,,4011,,,-,1,,1,,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194421
KANSAS,2019,44,,-,120,,2551,,4504,,,-,4,,4,,42,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194422
MINNESOTA,2019,44,27,,209,,6443,,6372,,,-,6,,24,,84,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194423
MISSOURI,2019,44,,-,366,,11209,,12799,,2,,7,,149,,145,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194424
NEBRASKA,2019,44,,-,80,,2358,,2311,,,-,3,,24,,29,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20194425
NORTH DAKOTA,2019,44,3,,43,,1082,,1132,,,-,2,,15,,16,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194426
SOUTH DAKOTA,2019,44,,-,57,,1509,,1439,,,-,2,,23,,25,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194427
SOUTH ATLANTIC,2019,44,830,,2718,,89249,,101473,,9,,43,,1098,,1039,,,-,1,,1,,3,,,SOUTH ATLANTIC,20194428
DELAWARE,2019,44,36,,59,,1410,,1429,,,-,3,,24,,16,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194429
DISTRICT OF COLUMBIA,2019,44,49,,127,,3439,,3541,,,-,2,,14,,20,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194430
FLORIDA,2019,44,457,,856,,30027,,27379,,8,,26,,328,,269,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20194431
GEORGIA,2019,44,,-,486,,16390,,17806,,,-,13,,183,,189,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194432
MARYLAND,2019,44,,-,249,,7935,,8760,,,-,8,,111,,118,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20194433
NORTH CAROLINA,2019,44,,-,587,,12239,,20004,,,-,11,,176,,168,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20194434
SOUTH CAROLINA,2019,44,,-,367,,5214,,11546,,,-,8,,100,,98,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194435
VIRGINIA,2019,44,288,,348,,11202,,10081,,1,,13,,130,,111,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194436
WEST VIRGINIA,2019,44,,-,146,,1393,,927,,,-,4,,32,,50,,,-,0,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194437
EAST SOUTH CENTRAL,2019,44,66,,2266,,36606,,35634,,,-,18,,417,,369,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20194438
ALABAMA,2019,44,,-,432,,12281,,10507,,,-,7,,111,,88,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194439
KENTUCKY,2019,44,,-,1730,,4437,,4570,,,-,9,,94,,85,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20194440
MISSISSIPPI,2019,44,,-,281,,7819,,8210,,,-,5,,58,,64,,,-,1,,1,,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194441
TENNESSEE,2019,44,66,,392,,12069,,12347,,,-,9,,154,,132,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194442
WEST SOUTH CENTRAL,2019,44,116,,1598,,35165,,64698,,6,,71,,564,,555,,,-,1,,2,,1,,,WEST SOUTH CENTRAL,20194443
ARKANSAS,2019,44,,-,174,,3307,,6188,,1,,8,,85,,49,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194444
LOUISIANA,2019,44,98,,307,,10123,,10231,,,-,8,,71,,71,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194445
OKLAHOMA,2019,44,,-,227,,6387,,7594,,,-,15,,83,,85,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194446
TEXAS,2019,44,18,,1003,,15348,,40685,,5,,45,,325,,350,,,-,1,,2,,1,,"TEXAS
(31.447238, -99.317341)",,20194447
MOUNTAIN,2019,44,187,,901,,33316,,32987,,7,,21,,438,,345,,,-,1,,1,,4,,,MOUNTAIN,20194448
ARIZONA,2019,44,63,,351,,11602,,10878,,,-,9,,151,,109,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20194449
COLORADO,2019,44,,-,250,,7839,,7567,,4,,8,,109,,76,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20194450
IDAHO,2019,44,16,,52,,1213,,924,,2,,3,,30,,16,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194451
MONTANA,2019,44,8,,56,,1276,,971,,,-,4,,21,,15,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20194452
NEVADA,2019,44,54,,146,,4870,,5442,,,-,5,,31,,28,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194453
NEW MEXICO,2019,44,6,,132,,3915,,4464,,,-,3,,45,,46,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20194454
UTAH,2019,44,40,,75,,2372,,2482,,1,,5,,51,,48,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20194455
WYOMING,2019,44,,-,16,,229,,259,,,-,1,,,-,7,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194456
PACIFIC,2019,44,473,,2214,,79535,,84727,,,-,16,,181,,169,,,-,1,,1,,,-,,PACIFIC,20194457
ALASKA,2019,44,,-,60,,1596,,1886,,,-,3,,26,,31,,,-,1,,1,,,-,"ALASKA
(63.631126, -151.631889)",,20194458
CALIFORNIA,2019,44,201,,1775,,66169,,67085,,,-,5,,43,,25,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194459
HAWAII,2019,44,,-,41,,,-,1239,,,-,3,,31,,34,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194460
OREGON,2019,44,110,,158,,5163,,4896,,,-,6,,71,,79,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194461
WASHINGTON,2019,44,162,,244,,6607,,9621,,,-,13,,10,,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194462
US TERRITORIES,2019,44,,-,17,,297,,488,,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20194463
AMERICAN SAMOA,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194464
NORTHERN MARIANA ISLANDS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194465
GUAM,2019,44,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194466
PUERTO RICO,2019,44,,-,17,,297,,470,,,-,0,,,-,2,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194467
U.S. VIRGIN ISLANDS,2019,44,,-,0,,,-,18,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194468
NON-US RESIDENTS,2019,44,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194469
TOTAL,2019,44,3467,,12529,,436760,,491011,,44,,233,,4630,,4576,,,-,3,,11,,32,,,TOTAL,20194470
US RESIDENTS,2019,45,4315,,12515,,449868,,502535,,43,,233,,4735,,4668,,,-,3,,11,,32,,,US RESIDENTS,20194501
NEW ENGLAND,2019,45,125,,365,,8347,,12520,,,-,11,,213,,247,,,-,0,,,-,3,,,NEW ENGLAND,20194502
CONNECTICUT,2019,45,,-,124,,,-,3109,,,-,4,,39,,58,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194503
MAINE,2019,45,,-,20,,373,,621,,,-,4,,30,,20,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194504
MASSACHUSETTS,2019,45,118,,191,,6406,,7011,,,-,7,,81,,110,,,-,0,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194505
NEW HAMPSHIRE,2019,45,7,,20,,354,,517,,,-,3,,27,,21,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194506
RHODE ISLAND,2019,45,,-,139,,1142,,1034,,,-,4,,21,,20,,,-,0,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20194507
VERMONT,2019,45,,-,14,,72,,228,,,-,4,,15,,18,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194508
MIDDLE ATLANTIC,2019,45,1091,,1542,,56633,,53965,,11,,31,,698,,722,,,-,1,,1,,9,,,MIDDLE ATLANTIC,20194509
NEW JERSEY,2019,45,174,,238,,8620,,7843,,,-,9,,121,,159,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194510
NEW YORK,2019,45,249,,327,,9907,,9770,,5,,18,,200,,199,,,-,1,,1,,2,,"NEW YORK
(42.921241, -75.59655)",,20194511
NEW YORK CITY,2019,45,412,,713,,24727,,22554,,4,,8,,129,,143,,,-,0,,,-,2,,,NEW YORK CITY,20194512
PENNSYLVANIA,2019,45,256,,387,,13379,,13798,,2,,12,,248,,221,,,-,1,,,-,5,,"PENNSYLVANIA
(40.896694, -77.838886)",,20194513
EAST NORTH CENTRAL,2019,45,602,,2010,,71496,,75400,,7,,37,,829,,825,,,-,2,,4,,11,,,EAST NORTH CENTRAL,20194514
ILLINOIS,2019,45,18,,549,,17925,,21892,,,-,11,,214,,210,,,-,0,,,-,2,,"ILLINOIS
(40.124144, -89.148632)",,20194515
INDIANA,2019,45,94,,326,,9596,,10483,,,-,8,,131,,141,,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20194516
MICHIGAN,2019,45,37,,455,,14417,,14487,,,-,8,,155,,151,,,-,0,,,-,2,,"MICHIGAN
(44.874798, -85.730977)",,20194517
OHIO,2019,45,301,,595,,22089,,21704,,7,,16,,303,,228,,,-,1,,3,,3,,"OHIO
(40.415534, -82.70936)",,20194518
WISCONSIN,2019,45,152,,239,,7469,,6834,,,-,6,,26,,95,,,-,1,,1,,1,,"WISCONSIN
(44.639954, -89.732969)",,20194519
WEST NORTH CENTRAL,2019,45,361,,859,,32229,,33372,,4,,14,,249,,347,,,-,0,,,-,1,,,WEST NORTH CENTRAL,20194520
IOWA,2019,45,23,,127,,4412,,4121,,,-,1,,1,,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194521
KANSAS,2019,45,,-,120,,2551,,4615,,,-,4,,4,,45,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194522
MINNESOTA,2019,45,11,,209,,6596,,6534,,,-,6,,24,,86,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194523
MISSOURI,2019,45,272,,378,,13549,,13111,,2,,7,,152,,146,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194524
NEBRASKA,2019,45,53,,80,,2512,,2366,,2,,3,,27,,29,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20194525
NORTH DAKOTA,2019,45,2,,43,,1097,,1165,,,-,2,,17,,16,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194526
SOUTH DAKOTA,2019,45,,-,57,,1512,,1460,,,-,2,,24,,25,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194527
SOUTH ATLANTIC,2019,45,966,,2718,,92019,,103825,,9,,43,,1127,,1065,,,-,1,,1,,3,,,SOUTH ATLANTIC,20194528
DELAWARE,2019,45,32,,59,,1442,,1436,,,-,3,,24,,17,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194529
DISTRICT OF COLUMBIA,2019,45,28,,126,,3503,,3614,,,-,1,,14,,20,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194530
FLORIDA,2019,45,463,,856,,30825,,27975,,6,,26,,334,,277,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20194531
GEORGIA,2019,45,171,,499,,17390,,18185,,1,,13,,194,,193,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194532
MARYLAND,2019,45,32,,263,,8571,,8948,,,-,8,,112,,120,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20194533
NORTH CAROLINA,2019,45,,-,587,,12239,,20537,,,-,11,,179,,174,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20194534
SOUTH CAROLINA,2019,45,,-,367,,5214,,11856,,,-,8,,100,,99,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194535
VIRGINIA,2019,45,239,,348,,11441,,10330,,2,,13,,137,,115,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194536
WEST VIRGINIA,2019,45,1,,146,,1394,,944,,,-,4,,33,,50,,,-,0,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194537
EAST SOUTH CENTRAL,2019,45,105,,2266,,37160,,36611,,,-,18,,417,,377,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20194538
ALABAMA,2019,45,,-,432,,12281,,10755,,,-,7,,111,,90,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194539
KENTUCKY,2019,45,,-,1730,,4437,,4787,,,-,9,,94,,89,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20194540
MISSISSIPPI,2019,45,105,,284,,8373,,8407,,,-,5,,58,,64,,,-,1,,1,,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194541
TENNESSEE,2019,45,,-,392,,12069,,12662,,,-,9,,154,,134,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194542
WEST SOUTH CENTRAL,2019,45,198,,1598,,36200,,66231,,11,,71,,579,,562,,,-,1,,2,,1,,,WEST SOUTH CENTRAL,20194543
ARKANSAS,2019,45,2,,174,,3416,,6337,,1,,8,,86,,49,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194544
LOUISIANA,2019,45,139,,307,,10366,,10482,,3,,8,,75,,72,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194545
OKLAHOMA,2019,45,35,,227,,6583,,7775,,2,,15,,86,,85,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194546
TEXAS,2019,45,22,,1003,,15835,,41637,,5,,45,,332,,356,,,-,1,,2,,1,,"TEXAS
(31.447238, -99.317341)",,20194547
MOUNTAIN,2019,45,333,,903,,34183,,33814,,,-,21,,438,,353,,,-,1,,1,,4,,,MOUNTAIN,20194548
ARIZONA,2019,45,58,,351,,11866,,11162,,,-,9,,151,,110,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20194549
COLORADO,2019,45,197,,252,,8257,,7751,,,-,8,,109,,77,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20194550
IDAHO,2019,45,11,,52,,1224,,945,,,-,3,,30,,16,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194551
MONTANA,2019,45,36,,57,,1334,,993,,,-,4,,21,,15,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20194552
NEVADA,2019,45,28,,146,,4924,,5587,,,-,5,,31,,33,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194553
NEW MEXICO,2019,45,3,,132,,3975,,4573,,,-,3,,45,,47,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20194554
UTAH,2019,45,,-,75,,2372,,2538,,,-,5,,51,,48,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20194555
WYOMING,2019,45,,-,16,,231,,265,,,-,1,,,-,7,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194556
PACIFIC,2019,45,534,,2214,,81601,,86797,,1,,16,,185,,170,,,-,1,,1,,,-,,PACIFIC,20194557
ALASKA,2019,45,,-,60,,1596,,1928,,,-,3,,26,,31,,,-,1,,1,,,-,"ALASKA
(63.631126, -151.631889)",,20194558
CALIFORNIA,2019,45,187,,1775,,67888,,68741,,,-,5,,42,,25,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20194559
HAWAII,2019,45,,-,41,,,-,1276,,,-,3,,31,,34,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194560
OREGON,2019,45,135,,158,,5298,,5002,,1,,6,,75,,80,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194561
WASHINGTON,2019,45,212,,244,,6819,,9850,,,-,13,,11,,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20194562
US TERRITORIES,2019,45,,-,17,,297,,498,,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20194563
AMERICAN SAMOA,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194564
NORTHERN MARIANA ISLANDS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194565
GUAM,2019,45,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194566
PUERTO RICO,2019,45,,-,17,,297,,480,,,-,0,,,-,2,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194567
U.S. VIRGIN ISLANDS,2019,45,,-,0,,,-,18,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194568
NON-US RESIDENTS,2019,45,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194569
TOTAL,2019,45,4315,,12529,,450167,,503033,,43,,233,,4735,,4671,,,-,3,,11,,32,,,TOTAL,20194570
US RESIDENTS,2019,46,3472,,12515,,464668,,514110,,30,,233,,4814,,4757,,,-,3,,11,,32,,,US RESIDENTS,20194601
NEW ENGLAND,2019,46,6,,365,,8460,,12838,,1,,11,,232,,248,,,-,0,,,-,3,,,NEW ENGLAND,20194602
CONNECTICUT,2019,46,,-,124,,,-,3220,,,-,4,,39,,58,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194603
MAINE,2019,46,,-,23,,410,,641,,,-,4,,31,,20,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194604
MASSACHUSETTS,2019,46,,-,191,,6406,,7162,,,-,7,,97,,111,,,-,0,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194605
NEW HAMPSHIRE,2019,46,6,,20,,363,,528,,,-,3,,28,,21,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194606
RHODE ISLAND,2019,46,,-,139,,1209,,1059,,1,,4,,22,,20,,,-,0,,,-,1,,"RHODE ISLAND
(41.572574, -71.534637)",,20194607
VERMONT,2019,46,,-,14,,72,,228,,,-,4,,15,,18,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194608
